label,id,labelchange,associated_label_id
{SYNTHF_TOTAL},q2Cn5xlCuZCPZr2LdWGl-93,XSY1,NA
{SYF_GRASS},q2Cn5xlCuZCPZr2LdWGl-94,XSYGR,NA
{FIX_DEP_GRASS},q2Cn5xlCuZCPZr2LdWGl-97,XDEPGR,NA
{FIX_DEP_CR},q2Cn5xlCuZCPZr2LdWGl-98,XFXC,NA
{CROP_EXPORT},4YDNm8X22fOxdj8KFQc2-1,XEXPV,NA
{IMPORT_ANIMALCR},4YDNm8X22fOxdj8KFQc2-2,XIMPV,NA
{LIVESTOCK_TO_GRASS},q2Cn5xlCuZCPZr2LdWGl-90,XLVSTOGR,NA
{LIVESTOCK_TO_CROPS},q2Cn5xlCuZCPZr2LdWGl-91,XLVSTOCR,NA
{ORGOT},q2Cn5xlCuZCPZr2LdWGl-99,XORGOT,q2Cn5xlCuZCPZr2LdWGl-10
{CROP_SURPLUS},q2Cn5xlCuZCPZr2LdWGl-41,XCRSURP,NA
{CRP_LS_OTHUSES},rK_GwhreT1srsj36wAeV-50,XCRLOTH,NA
{WASTEWATER},zlobZI97PNSKTUEXRrAk-1,XWSTWT,NA
{CROPS_TO_POP},q2Cn5xlCuZCPZr2LdWGl-46,XCRPTOPOP,NA
{CROP_POPIMPORT},rK_GwhreT1srsj36wAeV-52,XCRPOPIMP,NA
{CROPS_TO_LIVESTOCK},4YDNm8X22fOxdj8KFQc2-12,XCRPTOLV,NA
{LIVGASLOSS},nDv0Un9zqEHt-ATpz89Q-1,XNLOSS,NA
{UNKMANURE},rK_GwhreT1srsj36wAeV-6,XUNK,rK_GwhreT1srsj36wAeV-12
{IMANOT},rK_GwhreT1srsj36wAeV-44,XANOT,NA
{AN_LS_OTH},rK_GwhreT1srsj36wAeV-28,XANLSOT,NA
{LVSTCK_NOEDIBLE},w_wN9YeWpBJlYvs9JCMT-1,XLVNOED,NA
{LIVESTOCK_EXPORTED},q2Cn5xlCuZCPZr2LdWGl-100,XLVSTEXP,NA
{LIVESTOCK_TO_HUMAN},q2Cn5xlCuZCPZr2LdWGl-92,XLVSTOHUM,NA
{IMPHMANA},rK_GwhreT1srsj36wAeV-10,XIMPHUMA,NA
{GRASS_TO_LIVESTOCK},4YDNm8X22fOxdj8KFQc2-13,XGRTOLV,NA
{WIDTH_MAX},S4_6scFw5oMBeJrIZRjy-3,NA,NA
